,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78
source_dataset:WM793,-0.23128578,-1.805098,-1.2252539,-1.028069,0.30944988,-0.019021936,0.8924828,1.9587342,-0.22012465,-0.63926923,1.3891087,1.6376747,-2.0127344,1.135332,0.34073704,0.32099944,0.87619907,0.9608677,-0.08161583,0.5942969,-0.42892334,-0.29361933,0.11106904,0.10699755,0.09529942,0.46340194,-0.6579505,0.13608631,-0.40797323,1.0794169,-2.0242302,2.6208787,-1.6282953,-0.6067892,1.9208156,0.86901987,-0.26392752,1.161462,-0.29464507,0.6866503,0.13070151,-0.034695905,0.4948268,1.7289616,1.3462412,1.9504565,0.2620232,1.0006846,-0.16597557,-0.33048564,-1.5618663,1.1894779,2.0294204,1.3398875,-1.6674051,0.80845815,-1.8014407,-0.5350689,-1.3580587,0.71316195,-0.35811722,-0.28444844,0.09089623,0.00027285516,-0.27720216,0.71413773,-0.77542216,0.050395813,1.1588039,-1.1556678,1.2038277,1.9273059,-0.89626485,-0.45687956,0.45562893,-0.5990969,0.7656151,0.12988053,1.92965
source_dataset:SKM-1,-0.44732136,1.0263343,1.1115816,0.48155504,1.0787959,1.1509105,-3.4346287,0.41353533,-0.9683384,0.539135,0.060890965,0.7000029,-0.95310867,0.09419596,1.4793731,-1.9731493,-1.0453106,-0.97415525,-1.3651952,1.4211948,-0.8831194,0.15714242,0.6375218,-1.7970395,1.3403558,1.1586038,-0.028468765,-0.70391715,0.9600027,0.04332115,0.26741046,0.15044653,1.5440233,0.87189156,-0.88406354,-0.25371787,-1.749616,-0.52617884,-1.0433924,-0.24395116,2.7746294,-1.2499737,0.96108943,-1.1719593,-0.7149512,0.5311608,0.7734687,0.4403841,0.22477135,-2.240208,0.80220515,0.849606,-1.0842031,-0.111454934,-0.5603972,-0.14999129,0.23838021,0.47223058,0.16535223,0.7480095,0.6394596,1.1633879,-0.86422336,1.4255921,1.5817963,1.4631591,-0.57287,-0.0367259,-0.3430552,0.25778818,1.2846439,-0.66374004,-1.6316388,0.66459537,-1.8512936,-1.7444489,1.4176109,1.1544242,-0.016690522
source_dataset:NCI-H1155,0.23882934,0.31880975,1.1406039,-1.501225,1.3152835,-0.40251318,0.41601503,-0.09971335,1.7742947,-0.47231138,-0.46763515,0.3407078,0.05837095,-0.3044629,0.17780046,0.15022378,-0.13668425,1.3476845,-0.5477851,0.504591,-0.9342417,1.4267894,1.0310404,0.33664602,0.109979354,0.2646914,0.716377,-0.8916544,0.8476948,0.050577074,0.35094887,-0.2953421,-0.24534106,-0.25665748,0.5528127,0.30211562,-0.24145795,0.38311484,0.94964004,0.9897728,-0.2662877,0.28481224,1.0321494,-0.18330747,0.21133024,-0.264663,0.18029258,0.13990556,-0.90833575,-1.6213424,-0.35677445,0.5117179,-0.94002914,-2.404582,0.454103,0.9140502,-0.8846258,-0.582929,1.2665133,-0.24965586,0.098677814,-1.064327,0.9598024,-0.0005983785,-0.8960459,3.1440375,-1.7634747,0.101841025,0.8169073,-0.3281596,-0.54302704,-1.183522,0.106393665,0.41981736,0.118220024,0.66542464,0.71399367,2.165939,1.239679
source_dataset:EMC-BAC-2,-0.6245609,-0.43333486,-1.0782474,0.04962358,0.6341172,-3.4500775,0.61296195,-1.0585399,-0.68056226,0.51795685,-1.2609667,0.7209593,-0.84317315,-0.10635955,0.43394095,0.1629327,1.2919703,0.6552626,-0.45002648,-0.98671055,-1.5582544,0.50111496,-0.109999314,0.25198108,1.4913274,0.24775808,-1.475382,-0.39183113,-1.9898392,-1.5812829,-0.35749948,-1.3304031,-0.4845721,0.057936966,-1.0359694,1.8262179,-0.091156326,-1.3364304,-1.0693536,0.3804226,-0.7305014,-0.34117377,-0.20954981,1.1945857,0.81761956,1.9066589,-1.0197546,1.0262522,-1.7523524,0.770833,-0.5158005,-0.38330808,-0.56739724,-1.5093987,1.0771981,-1.1173949,1.3123748,1.2560601,-1.0899439,-1.2259431,-1.1246731,0.7876987,-0.73321867,-0.8034459,0.02275335,0.16874193,-0.37106943,0.563904,-0.45984536,0.43649194,0.12533674,-1.6962712,1.9222655,0.8412545,-0.05798312,0.36653113,0.18084872,0.10237398,0.08893493
source_dataset:B-CPAP,1.5074394,-0.5147202,0.9602509,0.3759467,1.1824954,-0.24611066,1.0618004,0.21165112,-0.22637694,0.8675779,-1.2690171,0.1090551,-1.2375487,-0.6783001,-0.4473565,-0.5424573,0.71131414,0.83363116,0.72690237,0.70728767,-0.5214153,3.1410947,-0.024421398,0.12183052,-2.3434422,-0.03139592,-0.6912867,-0.49755755,0.67201424,-0.37789163,-0.4794319,0.88234186,-1.405832,-1.2824793,-0.9084021,1.5798144,0.79286253,-1.0539185,-1.3378439,0.47246006,1.2764753,-1.4409926,0.13952163,0.8336641,1.2614285,0.18664667,0.070657425,1.4763739,-0.45719275,0.67461956,-1.1686039,-0.8581551,-1.6841787,-0.522287,-2.0845392,0.15001859,-0.61992806,-1.2516716,0.62042606,1.1641189,-1.0856228,0.18985713,-1.0526227,0.5080481,0.57820064,-0.32739198,1.3940732,-0.4504382,-1.4983314,0.10983258,0.62931097,-0.17151552,1.1630098,-1.0165704,0.78918964,-0.024875296,0.18689075,-0.9894573,0.19540352
source_dataset:Karpas-422,-1.4075824,-0.5203643,-0.87413573,0.31380826,0.899178,-0.5813923,-1.6800442,-0.79558814,1.7123282,-0.2275258,0.13990389,-1.4755487,-0.4018576,0.45050833,-2.096017,1.0443995,0.50829345,-0.26964355,1.0855538,0.31003463,2.545307,-1.0188011,-0.06835864,0.5425054,1.733058,0.9168444,2.0399559,1.0552343,0.02702759,1.462648,1.372968,0.5662793,0.07142398,1.0534186,0.9592731,-1.5117146,1.3911142,-0.5288091,-0.8536945,0.16333866,0.43278217,-0.97071356,-0.0760736,0.13665229,-3.1912687,0.5736895,0.63852,-0.18505074,-0.38333443,-0.11201926,-0.24232525,2.1191988,1.0031992,2.0000005,-1.5168353,0.68934995,-1.0912719,-1.1195599,0.55258435,-2.104762,0.66699296,-0.48810175,0.6946466,0.047642853,1.2281265,1.8167251,1.177574,0.8547388,0.7332726,-0.4524453,-0.63712263,1.5650984,-1.0518239,1.7773592,-0.9306909,-0.47402027,-0.055830896,0.019798107,0.9731914
source_dataset:CAS-1,-0.39689648,-0.07088431,-0.34137833,-1.753131,1.363688,-0.78386945,0.96098304,0.46727508,0.121426836,0.74986583,-1.3517518,0.15275054,0.9779244,-0.95453507,-0.8065941,-0.44656214,0.4868566,-0.6284611,1.2322981,0.16321562,-1.2146685,0.03136754,-1.2051599,1.1925479,-0.9989388,-0.0329335,-1.0985751,-0.5321554,-0.41205814,-0.022685476,0.64533985,2.0803618,-1.8629986,-1.2014893,0.7845825,0.4466543,-0.002388969,-0.021591447,0.041474245,-1.4733766,1.3392669,-0.02431954,-0.6863044,0.23173392,1.3175381,-1.2998868,0.7006876,-0.41946864,-0.9285027,-0.24049255,-0.5522109,-0.7620632,-0.78857577,1.7685299,-0.4633277,0.94274044,-0.9741968,-1.8552037,-1.115674,1.320494,-2.0337195,-0.5317277,-0.927132,-0.07137558,0.0057094246,-0.09767431,0.01021475,0.24195914,-1.9000772,-0.87140256,1.018626,0.63877124,-0.07945834,0.44503698,-0.6122594,-1.7818379,0.6502439,-0.27367535,1.1965643
source_dataset:NCI-H2869,-0.44365174,-0.58114505,0.40267062,-1.016957,0.26981035,0.6652244,-0.8310711,1.3843557,0.15305477,1.6724334,-0.45355424,0.7081146,-0.5386726,-2.9954233,0.63758093,-0.71524185,0.72905296,0.14494367,0.118957765,-0.3752409,0.24975093,0.25924352,-0.3327702,0.22785705,-1.2262079,0.77006847,-1.5332932,-0.44965494,-0.6107298,-0.21014604,-0.15243353,-0.6522291,-2.7607415,-0.81628335,-2.4331503,1.9155468,2.1443179,-0.76912725,-0.9188846,-0.32109475,-0.31027386,2.3606458,-0.039818212,1.8127573,0.8288622,-0.69126403,-1.0278074,-0.5109178,-0.04137881,1.4306401,1.3315852,-0.63428116,-0.19892856,-1.2245955,0.2680292,1.104397,1.0585116,2.441404,1.4818292,0.7586436,-2.0863383,-0.87220794,-1.1202215,-0.67114305,1.70871,-1.4431982,1.6969677,-0.76628846,-0.083305426,0.45181477,-0.55052096,-1.0407982,0.10048404,-1.2915844,-1.0044669,-0.40538523,1.5799241,-0.6149868,-1.352543
source_dataset:KY821,0.110153556,-0.39612612,-0.24769868,0.6323016,0.60485667,2.0973866,-4.426094,-0.37336636,-0.09846184,0.77357155,0.687194,0.6850978,-2.55707,-0.5587284,1.0645068,-1.0918798,-1.447094,-0.5756408,-1.3883232,0.9094722,0.64479786,-0.49163064,1.2671152,-2.0130327,1.4958761,0.25429228,-1.0058539,-1.0747728,1.0885942,-0.43841267,0.17833292,0.022305027,1.5723498,1.9850477,-0.7767927,-1.1519079,-0.2876559,0.17310548,-1.1246505,-0.25348273,2.4764478,-0.78474826,-0.61976266,0.10560505,-0.39575702,0.7986593,0.19379002,0.43355575,0.60199237,-1.9635564,0.8096904,-0.0043433234,-0.48426524,0.17726359,-0.29983863,-0.8864394,-0.6335422,0.4425682,1.5022297,0.7882174,0.7478803,0.8264183,0.40385044,1.9739476,0.57869697,0.98428124,-0.34514844,0.51898247,-0.46065217,0.02646928,1.0794026,-0.88354677,-1.4700309,1.2968938,-1.6080229,-1.1874914,0.9381571,1.2087653,-0.22667941
source_dataset:A-673,-0.5392958,-0.3158739,-0.5752074,-0.50102526,-0.67544895,0.22619405,1.0999407,0.34640306,0.110084035,-0.78416145,1.303936,0.36309773,2.2896404,-0.042319734,1.1393077,-1.1383966,-0.6185845,1.3833901,0.3395234,1.4970676,0.3826076,1.114212,-0.89546454,2.0552516,0.31280276,0.8477835,0.3719772,0.4968935,-2.0663533,0.6476444,0.5535239,-0.029711854,-0.8488173,1.1777297,0.45393658,1.1594238,1.2082306,-1.4500575,0.3582766,0.77192456,0.6463853,0.3475954,1.4978676,-1.6640677,-1.317354,-0.43592212,-0.7462797,-0.95469075,-1.0045403,0.2457032,1.0158621,0.048183978,1.7043475,1.337031,0.4939829,0.15236804,-1.000249,0.101289675,-0.5624693,-0.17117709,0.5968014,0.20386948,-0.043581992,-0.1783759,0.48087582,0.029533863,-0.9883445,-1.8481631,-0.72746587,-1.3116142,0.08471674,-1.5990574,-0.7631793,0.31498224,-1.4939239,0.081407435,-0.17611031,2.0554364,-2.242369
