,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78
source_dataset:TE-15,2.519995,0.7697623,-0.043601546,3.4375908,-1.7707607,-0.8921816,0.35791504,-1.0269245,0.08771098,-1.7317753,-0.93432146,-2.9275155,2.131147,3.3252738,0.41381377,0.40019515,-0.81336796,-1.9128972,1.2114829,-1.4902551,-1.6867902,2.4242697,-1.1021634,0.86352056,-0.9881711,0.7033925,1.3531767,1.8343177,1.391638,-0.48702255,-1.005831,-0.9777579,1.9812534,0.4819728,1.1716515,-0.4647844,-2.1765058,-1.2878411,1.4041306,-0.26435068,-0.7906945,0.3683278,-0.514632,-0.14164983,0.6525434,-0.026445225,0.32035816,1.0111367,0.3103841,0.4507839,-1.1288904,-2.6813622,-1.8068736,-0.6749472,0.4695579,-2.583007,1.8260458,1.1563089,1.7288638,0.076937616,-0.87089103,2.026354,0.51647216,0.9216222,1.3339605,-2.8722878,2.5242486,1.6625626,1.3596231,1.9957527,-1.2209406,-0.32189566,1.6703976,0.54861623,1.3252276,0.97446465,0.8596445,-0.2717652,-1.3972243
source_dataset:SaOS-2,-1.6081518,-0.8069914,0.50636125,-2.0942266,0.029975887,-0.27852783,1.1136485,-0.422672,0.5775116,1.9292166,-0.30342865,0.77520883,1.0325278,-0.15345907,-1.3592217,1.2590882,-1.1949223,0.18492565,0.81507254,-1.8339486,-2.1838005,-1.7316425,-1.57755,-0.6492698,0.49020064,-0.34082922,-1.7522494,-0.12755623,0.13924304,1.5875438,2.2132468,2.6088982,1.0715146,0.04698956,2.231901,-0.9639423,0.7790568,0.29256505,1.0980101,-1.4614866,0.82885873,2.4560971,0.004797384,1.0766565,1.429818,-0.29163224,-0.23674214,-1.8671658,0.7403501,-0.28015855,-0.095771804,-0.3176563,0.4944041,2.2841744,0.14153078,0.7433327,0.036978696,-1.3262328,-1.3804888,-2.0935051,-0.9490246,-1.087474,-0.26818112,0.8276802,-0.18071549,-0.05987985,-1.1675512,-0.17354897,-1.3583146,0.1896026,1.3748434,-0.45880228,-0.32854408,1.967209,0.017952269,-1.489477,2.056534,0.055860907,3.3094947
source_dataset:NCI-H747,1.5223742,-0.16931161,0.06758313,2.8969867,-1.7309928,-0.5635003,0.49934363,0.044267856,0.5052759,-0.7978419,-1.1129026,-1.5984358,0.4271567,1.3834223,1.8567113,0.36578935,-0.48845923,-0.56010383,0.7106959,1.2598947,1.1720454,2.3579686,-1.203714,-0.13491279,-0.33800912,-0.5148712,-0.24533951,0.5078546,-0.6171254,-1.7014376,-2.2121527,-1.8057661,-0.95442456,-0.8931203,-0.54679894,0.93352723,-0.8494157,-0.10829574,1.1109643,1.0717844,-0.8644796,0.089537196,1.1710997,1.1864228,0.3309466,-0.31579217,0.41737348,0.5774613,-0.2013122,-0.31955367,-0.105229795,-0.3166072,0.14766674,-1.3292329,0.6111713,0.3824738,1.8649751,1.0912127,0.7352164,0.4084393,-0.32944718,0.39244255,-0.79136705,-0.23233326,1.2218809,-2.2615516,2.6634622,0.37347338,0.2621645,1.34123,-1.4078411,0.042939134,-0.5599031,-1.9165932,0.76475674,1.1714394,-2.0420952,0.7254772,-1.7428408
source_dataset:IM-9,-1.1067079,2.5749412,0.22177418,1.3101394,2.6015732,0.99321973,-2.8023741,-0.38701716,-1.1622264,1.5769325,1.8630588,-1.7403445,0.1746529,0.27417576,0.99036586,-0.66199285,0.008334128,-1.0158861,0.27712426,-0.15775251,2.261518,-0.30090767,0.22729965,-1.1363109,1.184703,1.8758252,0.6886284,-2.2130864,-0.1013217,-0.7575648,1.341884,-0.8587791,0.9377439,-0.45463285,-1.1565006,-0.17482482,0.6546225,-1.1750114,-1.5810368,-0.54580075,0.6542592,0.88243306,1.468631,-0.9449043,-0.5725442,0.4480292,0.22821747,-0.1935772,0.7736038,-0.08621487,-0.95127904,1.9998963,0.9588818,0.21157867,-1.4122887,-1.6492736,-2.4795897,0.44471362,0.6112341,0.19800335,-0.80307037,-0.33715993,1.1271672,1.3569123,0.32900777,1.2733016,1.1675763,0.014516726,-0.040652413,-0.37922135,1.3307924,1.2256061,-1.782827,1.0322771,0.71420753,0.9965593,0.18825693,-3.0462775,0.32861808
source_dataset:NCI-H2591,0.7107643,-1.0892667,-0.821468,-0.510278,-0.75227416,1.4441955,-0.12862705,0.08132209,0.5860947,2.3587897,-0.71779805,0.3036333,-1.0370839,-1.942658,-0.39415336,-0.71901965,-0.04607569,-0.18834338,1.4907203,-0.20358908,1.5294552,0.050034888,1.0484262,0.57719535,-0.51362234,0.046992764,-0.9374555,0.7891291,-1.4221367,-0.02297822,-0.21655038,1.0552363,-2.6179216,-0.32834652,-2.9425657,1.3313597,1.4560815,-1.7007314,0.77680105,-0.20261557,-0.778829,2.052221,-0.5269939,1.2234251,-0.6972542,-0.99695575,-1.2312348,0.45421863,0.023429822,1.0321823,-1.1151792,-1.0040952,0.117186934,-0.5639191,-0.91966987,0.37775266,0.055940576,0.7524391,0.844764,3.1684065,-2.4771347,-0.75968915,0.46499178,-0.37612942,0.6485162,-1.2126672,1.4322501,0.31777257,-1.6598859,-0.08830601,0.37118095,-0.027341016,1.5781269,-0.5820594,0.6304579,0.6125009,0.08290681,-1.3073077,-0.79665375
source_dataset:JVM-2,-0.6986321,1.957746,-0.028907023,0.76496243,2.0367222,-0.06234686,-2.8746696,-0.78415966,-0.7918609,1.4595038,0.87083787,-0.61932343,-0.3592109,0.25248766,0.7364713,0.62127775,-0.561549,-0.8143425,0.3419999,-0.23329794,1.7133487,-0.8497056,-0.28669208,-1.4307061,1.6910565,0.32716215,0.95610875,-2.8408945,1.1050133,0.88887215,0.38828182,-1.0540367,0.9083178,-0.40387025,-0.26923504,-1.554598,1.0276214,-0.20060909,-2.6412833,0.4079999,0.2278364,0.11790415,1.3336953,-1.1556692,-0.44199073,-0.34622264,-0.2878751,0.317474,-0.01796168,0.6505128,-1.8035145,3.15052,0.23506752,0.6088994,-0.40335256,0.22227153,-0.57327795,-0.24190974,0.17684746,-0.20168263,-0.78173435,0.57888484,0.73549986,0.6108841,0.16180122,1.5267636,0.7711248,-0.60717344,-0.052967526,0.053064138,0.47190565,1.3821521,-2.2551165,0.16971093,0.4159488,0.103826545,-0.22633225,-2.42966,1.5944284
source_dataset:NALM-6,-0.37577444,0.8283423,0.53629565,-1.218216,0.47311503,0.7011742,-2.5003378,-1.3998799,1.1847141,0.32411695,1.2730927,-1.1653125,0.025265954,-0.8516943,-0.041259058,-0.94983935,0.8849498,-1.2625089,0.8725149,-0.13702741,0.40933648,-1.5295932,3.1473744,-0.1505692,0.92686313,-0.58939934,0.45998827,0.012306094,-0.3880107,-0.5038408,-0.115360856,-0.19245961,1.1313233,1.8222846,-0.7831452,-0.025543917,-0.18108399,-1.3985126,0.9532057,1.3187494,-0.7053279,-0.75873506,1.9171287,0.012138993,-1.55078,-0.04958595,0.15504725,-0.5619686,-1.0902692,-1.3435268,-0.29031202,0.91474026,-0.35419956,0.4587157,-0.8696061,0.7899522,1.2474878,-0.2847536,0.81491673,-1.1809523,0.2534333,-1.1263127,0.7108083,1.1388062,0.08177195,1.281761,0.3435762,0.8647198,0.16742513,-1.6251708,-0.7628524,0.8096026,0.97915137,2.2084048,-0.48624218,-1.021195,-0.58576965,0.7781148,0.28356174
source_dataset:GCIY,-1.4016347,-0.63490057,0.28413197,-0.65103483,0.47690165,-0.98722845,-0.17443739,0.472804,-0.89674157,1.2292453,-0.40433377,-0.6464955,0.4377276,-0.05883622,1.0279297,1.3861798,-0.94412726,-0.13035372,-0.546203,-0.27041376,0.13123724,-0.9769095,0.5167117,-0.43513817,-0.39621475,0.17372228,-0.5450611,-0.112219855,-0.009804765,-1.6165533,0.8028419,-0.31114516,0.5540751,0.5595322,-1.1001647,0.34589624,1.2894976,0.3150329,-0.87000215,0.33787882,-0.3404782,-0.10564165,-0.29471692,0.8683456,1.339023,-0.12615392,0.10182063,0.99222356,0.4157071,1.1940713,0.95188385,-0.42462325,-0.54841965,0.60434747,1.5414655,0.5370855,1.7667485,0.7128321,-0.40990195,-0.23778266,0.07625964,0.29008436,0.13499036,-0.7726866,-0.32156974,-0.3848564,-0.16212802,-1.2943078,0.0069463253,0.60277534,0.77332664,-0.6608865,-0.06947996,-0.4063502,0.36245868,0.11030734,-1.666126,-0.9823803,0.0031261928
source_dataset:SK-MEL-30,-0.8914801,-0.23103008,-0.8115258,-0.8945666,0.39603958,2.147279,-0.21227603,1.2887714,0.09420356,-0.13641915,0.72326815,0.147849,-0.53681624,1.0591491,1.7992634,-1.6338894,0.09158519,0.94331145,-1.9573518,-1.0647018,0.102019414,-0.46632177,0.86919487,-1.0156698,-0.99209654,0.33650666,0.12129557,-0.88384795,0.26287627,2.0996094,-0.15323986,-0.21371272,-0.4597932,-1.5311219,-0.015663631,1.7043735,-0.62889886,0.14414881,0.16570349,0.49016204,-1.0585123,0.5086925,0.14074624,0.49034125,0.9996179,1.1650434,1.2710834,0.47773036,-0.26728174,0.3956256,1.4139416,1.2209828,1.690571,-0.07650788,-1.5863886,1.0446049,0.3509034,-1.9278302,-1.416109,0.9331437,0.082686596,-0.6115349,0.5152749,-0.14009121,-1.7713786,-0.32068503,0.028990235,-1.3881695,-0.5124096,-0.72555774,-1.1225709,0.67470634,-0.45620534,-0.40908167,0.21688032,0.31893554,0.8351492,-0.53259254,-1.0401628
source_dataset:MKN45,-1.2211548,0.37250382,-1.2180194,0.50263816,0.15215905,-0.8480722,1.7133074,-1.3810462,-0.93085814,-0.85822874,-1.525686,0.7145824,0.57729656,2.2194872,-0.5936972,1.1635022,0.53646,1.9964426,0.2342735,-1.5484425,1.5174739,-0.944754,0.766442,-1.1479315,1.0568055,-1.1395116,0.9318677,1.4021538,0.15429252,-0.6054867,-0.0015778765,-0.93106824,1.070634,0.59499496,0.5488149,-1.4167156,-1.3641609,0.37477553,0.3742739,0.30850244,-0.510131,-0.088042274,-1.3317597,0.29535204,0.19269979,0.059295516,0.2155129,0.07192016,0.9120245,0.30390704,-1.2214094,-0.45694542,-0.8200215,-0.68693995,0.70131713,-0.58765775,1.3183299,0.9792817,0.27283993,-1.507009,3.307351,-0.0064516515,-1.9382085,0.14060411,-0.38875294,-0.6548031,-0.7541293,1.1595973,0.63172126,1.000332,-0.22004475,-0.8837708,1.9079348,1.4743559,0.044540346,-0.0828677,-2.656031,-0.7841257,-0.010140836
source_dataset:HCE-4,-0.9739875,0.2519806,1.8592945,-0.5544378,0.17259152,0.49135524,0.027583411,-1.3829886,-0.023124903,0.5359161,0.9910218,0.84521204,0.08259612,-0.39325044,-0.25967672,-0.37913853,0.095068626,-0.056524273,-0.027464198,-0.8749857,-0.6692832,-0.39008117,-0.036433827,1.3762622,-1.0175691,0.0494601,-1.7991958,0.5256285,-0.72280055,1.5013431,0.48224482,-0.01347553,-1.9050732,0.12841778,0.41291305,0.8401941,1.5783046,-0.015183484,-1.8142052,0.4144052,-1.8082007,-0.01521847,-0.7533743,0.57928485,-0.24696484,0.27227855,-0.37728867,-0.18760474,0.9638262,0.2831949,0.7419759,0.28513902,-0.48697683,0.19287317,-0.035426997,-0.022949137,0.46660715,0.78836447,0.57850033,1.0417062,-0.8157221,0.40442398,-1.151479,-0.48640478,0.85847175,-0.084201425,-0.32897055,-0.43262675,-0.17087127,-0.42209914,1.7800969,-0.64701575,1.193807,-0.4514323,-1.6233302,-0.14779419,-0.071656786,-0.55494606,-0.537784
source_dataset:LB2241-RCC,-0.28562802,-1.2115433,0.48333424,-1.1385145,1.2070497,-0.11564791,-1.1491603,2.7575276,-0.9806305,2.007804,-0.023201376,-1.0796679,-1.9541016,-0.2081548,0.48162544,0.21827208,-0.25196883,-0.17414215,-0.08212172,-0.033640806,0.0071645556,0.4719234,-0.6121479,-0.25503725,-1.0299132,0.24888542,-0.6813652,-1.0921488,0.28306907,-0.5472081,-0.8153911,1.6781164,-2.2537014,1.1426691,-2.3804936,1.1842108,0.36640662,0.16169927,-0.65487146,-0.5993523,-0.21448801,-0.85784924,-0.05587872,0.47659382,2.016151,-0.12668575,-0.33735853,1.5537273,0.22511035,1.5571778,-0.44814712,-1.0223184,-0.10306755,-0.22032595,0.00086560566,0.9106581,1.5860451,1.1918786,-0.45721248,-0.49504533,-0.32783055,0.52507174,-0.31658196,-1.9075563,0.2192863,-0.93742514,0.11622453,-2.2768393,-1.9041502,0.6287032,-0.80720013,-0.07186258,0.61469865,-1.3021742,0.62401694,-0.1489872,0.82203734,0.21710344,0.054227445
source_dataset:ES8,-0.37863818,-0.5713316,-0.13441303,-1.2183099,-0.51169086,-0.2916539,0.86602014,0.07742387,-0.46337277,-0.8646134,0.6822187,0.8499581,1.2891066,0.07427955,0.7829225,-0.43180344,-0.45593432,0.764498,0.3471338,0.6204826,-0.5962114,0.38511753,-0.8852362,1.7640656,0.15999086,0.34845304,-0.23584163,-0.19048819,-1.448592,0.41867545,0.99974114,0.5608249,-0.97170556,0.59180933,1.2536496,1.3559133,0.004028678,-0.5930572,0.50683147,0.5045003,1.5913339,-0.1274029,0.60915095,-2.1065779,-1.8114989,-0.20108066,0.025992177,-0.69022095,-0.34037963,-0.57568496,1.8115993,0.6355847,2.6484964,-0.056877315,-0.36950186,0.6001965,-1.7190944,0.8642354,-1.5764829,-1.2356398,1.163528,-0.06870611,0.92406046,-0.15423349,0.5359824,1.6007466,-1.9706903,-1.447466,-0.5958618,-0.69851,0.30497533,-0.8870566,-1.3163838,0.9159107,-1.0879526,0.59477085,0.9121678,1.643475,-1.46451
source_dataset:NCI-H64,0.00577268,1.9642732,-0.11411767,-1.8826945,0.6675113,-0.79516476,-0.79200023,-0.07106299,1.4506552,0.677737,0.0501324,0.5903207,1.1724685,-0.6867502,-0.60563433,0.89149547,0.17776649,0.42925563,-0.06791033,1.1519208,-1.7316602,0.1005612,-0.076765686,-0.20764306,1.0469642,-1.1885151,2.207311,-0.4027279,0.33345163,-0.9142349,1.076226,0.20446768,2.0121353,0.65657234,1.126369,-0.48260555,-0.33044198,-0.62073445,1.0654818,2.1975427,0.4766999,0.52681494,0.8498676,-1.7921118,0.0904344,-0.85560364,-1.0816691,-0.77299684,0.39845297,-0.47142994,0.4787934,-0.5897521,-0.57678986,-1.9315424,0.655212,0.5046512,-0.11778337,0.10077056,0.6699542,-1.0784159,0.41634667,0.73438287,0.20889178,-0.7813975,-2.4488637,2.717012,-1.3113402,0.7226985,-0.6268805,-0.53943706,-0.6141368,-0.82324564,0.1635078,0.57257855,-0.2534561,0.059214465,-0.027775362,0.84875244,0.79740673
source_dataset:KOSC-2,2.4315114,0.90421474,-0.8363891,2.8218973,-2.372214,0.9705321,2.3239608,0.39825308,-0.48930448,-2.329255,-0.38230184,-1.5893521,2.1458993,1.0912291,2.2368522,0.007815223,-0.4843384,-1.109027,1.1057194,0.17729169,-0.078553714,2.4339654,-1.639731,0.7416616,-2.2383778,1.6446755,1.1874255,3.2856083,0.8890255,-0.15583058,-0.14502393,-0.13203603,0.86814094,-0.55829036,-2.2124536,-0.80278534,-0.93340254,0.1888141,1.9827831,-0.53104323,0.42259085,0.8295941,0.77399814,1.0360289,0.06571795,-0.15961565,0.27704257,0.1748982,0.035746012,0.7535705,-2.740296,-1.7007105,-2.1085038,0.07499871,1.2211095,-1.6391919,0.5324612,1.4981269,2.8439553,1.7514575,-2.0119486,0.80948925,-0.3548948,2.0791643,1.666045,-3.6035264,3.588996,2.1645792,0.7619163,0.6845931,0.67977715,0.594023,1.6345491,0.0554319,-0.12820601,0.8636,0.82033014,-1.7866092,-1.5114101
source_dataset:QGP-1,-1.39808,1.6612731,0.7092471,-1.2869595,-0.9051668,-1.5910686,1.1566877,0.88360703,-0.3036096,0.80829483,-1.2361292,2.1599905,0.44531056,-0.62565446,-1.2129401,0.73083866,0.98395264,0.7843678,-0.10804401,1.1339614,1.0379126,1.277559,-1.3856913,-0.4790555,-0.88207906,0.5709723,1.67007,-0.77501774,1.6918715,-1.7170675,1.2573404,-0.8629195,-0.9550704,-1.7653527,0.89701027,0.61330676,-0.977918,0.0012631058,-0.3640863,0.49265796,-1.1381392,0.095777534,-0.2994619,0.24406374,-0.43289897,-0.37474385,-0.25584352,-1.3213261,-0.7492611,-0.5314408,-0.0016056583,1.1111071,-0.69999474,-3.5550935,-1.4318832,0.74247617,-0.9248047,1.2179099,-0.27727267,-0.57477474,1.4002168,-0.05093416,-1.246112,-1.6178327,-0.031813793,3.4808407,-2.0493467,0.3918767,2.1694622,2.0730865,0.33999923,-0.7178438,-0.21495976,-0.94704765,-0.84094614,0.6165827,-0.514007,0.1520505,0.22590286
source_dataset:NCC021,0.6037336,-0.41359758,-0.5176269,-1.9459318,-0.0028091334,0.07701908,1.3988764,1.0161401,-1.5683892,-0.64856434,0.12561086,0.74257135,-0.59493893,-1.3703147,0.10558325,-0.04748401,1.2029337,0.16809292,1.2681673,1.1274387,-0.17228554,-0.15860178,-1.115158,-0.6986892,0.6587872,0.23602557,-0.719991,-0.638669,0.13571857,-0.6835262,-0.45704028,0.90630937,-1.5406519,-0.31995505,-1.7135143,0.033910744,1.913556,1.2382327,-2.2458284,-0.5381736,0.4661279,-1.62863,-0.126749,0.22869961,0.072380975,-0.7454554,-1.1299986,0.96504295,-1.4430232,1.3731427,-0.27201197,1.1240002,-0.10612045,1.5853106,0.025578827,0.90988845,-0.12748356,-0.8321503,0.16714102,-0.6565718,0.12463364,-0.6631378,-0.79007345,0.25013086,-0.08209634,-0.9428509,-0.21747345,-1.2442129,-1.1916087,-1.2018279,-0.20765506,-0.4390015,-0.16117367,-1.4100639,-1.6090696,-0.7928253,-1.838894,0.0045209974,0.7820548
source_dataset:G-mel,-0.11227816,-0.8388206,0.3566846,-1.3755914,0.76635957,2.560304,0.24728152,1.0159678,0.0032330048,0.8463858,1.4209445,0.102666706,-2.3651967,0.90512407,2.5699852,-0.85662395,-0.40532535,2.1947274,-2.7553947,-2.878201,0.33291808,-0.46723017,0.7346086,-2.3847847,-1.478025,0.6881712,-0.66241115,-0.94035655,0.7600541,2.1454983,-1.3004874,0.039362997,-0.69802713,-0.15686473,0.19558477,0.46576312,-0.8234734,0.9649826,1.1921141,1.1928335,-0.42795816,0.3286414,0.23342624,1.5026367,1.3752782,1.5979805,0.91937286,-0.13027301,-0.3017819,-0.5571102,-0.26629853,1.6793159,2.090456,0.52105504,-2.7193856,1.5315489,0.13821656,-1.5641418,-1.1680175,0.19302866,0.016472865,-1.5386194,-0.66423386,0.5324889,-1.1119415,0.013972057,-0.79940045,-1.7160971,-1.551937,-0.16505396,-0.31388715,0.81303513,-0.6236268,0.60889995,1.7158389,0.2527314,2.1259208,0.16371362,0.30095997
source_dataset:SN12C,-0.44359535,-0.5022268,-0.36036256,-0.6040906,-0.73150927,1.0945089,1.1335614,-1.2096434,1.0395204,1.0203714,0.8458701,1.4336205,-1.6328084,-1.6565747,-0.9790262,-0.21238267,-0.102181315,1.2409596,0.07783555,1.0070347,0.23446634,-0.5753942,1.8966528,0.9374989,0.027170105,-1.2183559,-0.91922885,0.5422309,-1.249511,0.31143677,-0.80826366,1.170141,0.07807322,-0.5221148,-1.4479879,0.13475648,1.8007901,0.063552275,0.3649466,-0.07348692,-1.3064839,0.99580055,-1.0913342,1.3975908,-0.15439792,-0.9104648,-0.5673244,0.77996826,0.1884739,0.59025055,-1.28412,-0.57111865,-1.2875003,1.7075586,1.4506065,0.39726254,-0.85649854,-1.2186068,0.64633644,2.3604107,-0.56534135,-0.056772083,-0.4409795,0.6641596,-0.22879717,-0.4722499,0.07292302,0.05192136,-0.8527428,-1.9207586,1.6005898,0.48705435,0.45962915,-1.3664533,-0.20900929,0.41110078,-0.3258657,-1.0662359,1.487345
source_dataset:COLO 783,0.130202,0.5782826,-1.1217659,-1.2186189,1.5234649,1.9559195,-0.16666059,1.5648203,0.2469148,1.023181,0.7906802,-0.08358825,0.1108151,1.5867844,0.44786966,-2.560183,0.17740011,-0.5466457,-0.7535841,0.5468077,-0.09386148,-0.21812543,-0.15190294,-0.58691275,-0.8618229,0.12503706,-0.0016064197,-0.3643019,0.51677215,2.1059945,-0.83268464,0.5770877,-0.8647757,-1.0769798,-0.2044291,1.8269997,-1.5392114,-0.10467939,0.42997515,-0.16823436,-0.71986663,0.82382005,-0.36961275,0.6217263,1.7322375,1.0157586,1.1878903,0.13777241,-1.021395,0.33190703,0.60127515,0.58921707,2.444276,0.7131095,-1.4313595,-0.3104794,-0.49226215,-1.6243515,-0.42779285,1.4080386,-0.4696918,-1.8159229,-0.32028455,0.8946575,-2.218558,-0.83653504,1.6517652,-1.0358707,-0.9495663,-0.5381804,-0.79271245,2.2596579,-0.6538165,-0.6172071,1.4044203,0.7495741,-0.0914457,-1.0125039,-0.38204348
source_dataset:KNS-42,0.012083776,-1.9261043,-1.323775,-1.6541383,1.1544477,-0.09216285,-0.10434241,1.0949984,2.2421725,1.3339106,-0.90536267,-0.7414212,0.45485663,-0.5600619,-2.1937625,-0.5782103,0.42655545,-0.9308571,0.22227767,-0.75186956,-1.265466,-0.6443761,1.351729,0.6484712,0.5884886,0.30109003,-0.042824022,-0.5953603,-0.39556146,0.27453145,0.6803264,-0.9315862,-0.7185226,-1.2580886,1.4271989,-0.101199895,-0.04917634,-1.5006858,-0.1812461,0.23523937,-1.3573332,0.6291728,-0.32236463,-0.41712055,-0.91315466,0.31109455,-0.1801272,0.33861288,-2.4797883,-0.3976513,-0.6780167,-0.9458114,-0.46455473,0.51021355,1.353736,1.1763848,0.6458638,-0.6097755,0.39376387,1.6679507,-1.8458408,-0.88669676,0.78904915,0.40635264,-1.6427933,0.35185638,-0.9717844,0.58766854,0.18277095,-1.5244654,-1.9200392,-0.46777943,0.465808,0.8370121,1.4520047,-0.6764042,-0.44689307,1.5873189,0.024444029
source_dataset:OC 314,-1.09408,-0.1409649,0.44085163,-0.45448858,0.13193023,-0.27763474,-0.5969784,0.08274228,-0.52551407,2.0537162,0.045834348,0.033947773,-2.2961414,-0.08936833,0.024443187,0.5466568,0.4800878,1.5954767,-0.7715518,0.46669856,-0.23359272,0.5216408,0.6563308,-0.9768816,-0.52630115,0.07961887,-0.19245365,-0.6149164,0.70956695,-0.39675242,-0.9003915,0.3730462,0.2645192,0.8499559,-0.11096291,0.11784045,2.1685936,-1.1714205,-1.7470977,-0.15772535,-0.8673812,-0.7351081,-1.2751778,0.296619,0.50192666,-0.3914923,-1.9991677,0.8170535,0.7520432,1.9712352,0.89185876,-1.6849561,-0.8874927,0.2680074,0.7350044,0.6622922,1.1831101,1.0022844,0.29443756,-1.1219672,1.0904915,0.9891505,-1.441621,-1.1523275,0.0570311,0.14469652,-0.7549925,-2.417316,-0.05800177,0.5812216,-0.2970396,-0.86607254,0.109926,-0.7576262,-0.1943697,-0.100133285,-0.46799526,-0.5870257,0.10393377
source_dataset:NCC010,0.5657856,-1.2423784,-0.7196243,-2.2129626,0.024534771,0.7653714,0.84877455,1.6002961,-1.9917665,0.3741919,-0.4062713,0.55939156,-1.161642,-1.6439298,0.6310258,-0.34521228,1.2062154,0.07162998,0.5671804,0.66232926,-0.2691798,-0.0990058,-0.63595074,-0.9303243,0.59741473,-0.31651187,-0.54767084,-0.19978113,0.13429584,-0.6745626,-0.124097236,0.7543289,-1.5268047,-0.69800806,-2.1185603,0.061241433,2.065431,1.2374825,-2.039773,-0.16218649,0.26573285,-1.6429203,0.21699893,-0.009445548,0.48052144,-0.8378548,-0.729993,1.0325315,-1.4049736,1.8223556,0.039579663,1.1099415,-0.0852012,1.9430443,-0.036257885,0.51441854,0.6268373,-1.2656442,-0.24769601,-0.70170325,-0.54437476,-0.3080885,-0.25539547,-0.23901501,0.028724251,-1.3308078,-0.24931346,-1.8489952,-2.1274679,-1.0631367,-0.49909264,0.35371214,0.06866047,-1.2731253,-0.42820537,-0.9241239,-1.5821981,0.39145356,0.79789513
source_dataset:A-388,2.806782,0.51401305,-0.2896719,2.257832,-1.6621364,0.63721,2.0082498,1.0742768,-1.7276095,-3.0309963,-1.6763175,-1.6580116,1.5170335,1.7701327,1.2727708,-0.11785683,-2.0956323,-1.1113911,1.0346178,-0.6154356,-0.52297413,2.463239,-1.559173,0.3085341,-2.2488143,1.170347,1.2062441,3.5191832,2.2028468,-0.19018933,-0.49303,-0.3737416,0.71689254,-0.75614214,-0.5144441,-1.7264636,-1.7579179,0.7944459,2.615014,-0.27742523,0.34178975,0.07872476,0.5847769,0.14902733,-0.2424641,-0.27071667,0.66566503,0.71947634,-0.2134786,-0.89289385,-2.8049119,-1.374593,-1.3117734,-0.31136346,0.3778786,-2.233726,0.5425121,1.5841503,1.5960733,-0.07542371,-0.5331115,0.43675882,0.06132053,0.7753991,2.6355898,-2.4404788,3.2697337,2.1076136,0.91100055,1.2545146,0.7641902,1.6202471,2.2118092,1.3208352,1.925105,0.8111203,1.7467319,-1.3088638,-1.2171489
source_dataset:Reh,0.69667846,0.7273975,0.78321403,-0.82967246,0.35615104,0.5501583,-2.4827173,-1.9765084,0.96221584,0.26452038,2.0742998,-0.8290356,0.4350279,-0.77476907,0.6108162,-1.9283764,0.21043245,-0.24535468,1.0350873,-0.42495894,0.24670033,-1.2351435,2.991834,-0.09608403,0.65922755,-0.6614051,-0.222399,-0.49088505,-0.9441688,-0.795619,-0.1433338,0.086469255,1.3436929,3.0828214,-0.3167145,0.17161398,0.7166224,-1.9569633,0.8356614,1.6043836,0.42806086,-1.0729558,1.4319274,-0.20196468,-1.8553947,-0.18688144,-0.36185548,-0.5171523,-1.0872095,-1.4056941,0.030801922,-0.20863979,0.14601138,1.5858507,-0.577604,-0.13556911,1.1037205,0.029059242,0.99980766,-1.1986586,0.758822,-0.67567325,0.38323024,2.346061,0.844863,1.1307315,0.61093414,0.11570654,-1.1789247,-1.2126857,-0.10888994,0.08776775,0.5766534,1.8823034,-0.30186653,-0.7488801,-0.73971564,0.036039777,-0.7721514
source_dataset:PC-3,-0.42402107,-0.67916864,-0.5051027,1.4496804,-1.3005812,0.4102149,1.5795527,-1.0434891,-0.073252395,0.12872116,0.0584971,-1.4374382,-1.0155582,1.131531,-1.1722739,0.40682757,0.37598756,0.2716654,0.28451303,-0.67677826,0.057786245,0.65981644,-0.8588659,-1.0686693,-1.174297,0.40838626,0.65853107,0.3290817,0.44938904,-1.2615625,-0.9991451,-0.20837972,0.16610199,-0.20457718,0.9798549,-0.8578854,-1.8067504,0.7506614,-0.31040943,-0.55106795,-0.7430853,-1.3015475,-1.9999762,-0.29336673,0.4010085,0.12760088,1.552357,0.5882568,-0.18467715,0.5039974,-0.511032,-1.6056706,-1.8884776,-0.3020463,0.63678396,-0.4976735,0.09261419,-1.3054869,-1.2090116,0.27039486,1.2687142,1.2401627,-0.9595556,1.1912723,-0.4710468,-1.8467761,0.2257529,0.46524352,-0.22193934,0.95960516,-1.6160392,0.35067365,-1.3448414,-1.2233158,0.33255807,-0.008477587,-0.3152401,0.03658598,-0.015373415
